SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,FACE VALUE,Index,BSE_Security_Code,Listed_Company_Name,Ticker_Symbol,Official_Issuer_Name,Listing_Status,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,Instrument,ISIN
,,,,,,,2315,531929,Innocorp Limited,INNOCORP,Innocorp Ltd,Active,XT,10.0,INE214B01017,Equity,,,,,
,,,,,,,2316,531930,Sarthak Industries Ltd.,SARTHAKIND,Sarthak Industries Ltd,Active,X ,10.0,INE074H01012,Equity,,,,,
,,,,,,,2317,531931,Sai Capital Ltd.,SAICAPI,Sai Capital Ltd,Active,X ,10.0,INE531X01018,Equity,,,,,
,,,,,,,2318,531936,Blue Chip India Ltd,BLUECHIP,Blue Chip India Ltd,Active,T ,2.0,INE657B01025,Equity,,,,,
,,,,,,,2319,531944,LEXORAA INDUSTRIES LIMITED,LEXORAA,Lexoraa Industries Ltd,Active,XT,10.0,INE185D01015,Equity,,,,,
,,,,,,,2320,531946,Chadha Papers Ltd.,CHADPAP,Chadha Papers Ltd,Active,X ,10.0,INE669W01018,Equity,,,,,
,,,,,,,2321,531950,Vertex Securities Ltd.,VERTEX,Vertex Securities Ltd,Active,X ,2.0,INE316D01024,Equity,,,,,
,,,,,,,2322,531952,Riba Textiles Ltd.,RIBATEX,Riba Textiles Ltd,Active,X ,10.0,INE811H01017,Equity,,,,,
,,,,,,,2323,531959,Newtime Infrastructure Limited,NEWINFRA,Newtime Infrastructure Ltd,Active,X ,1.0,INE997D01021,Equity,,,,,
,,,,,,,2324,531960,Kashyap Tele-Medicines Limited,KASHYAP,Kashyap Tele-Medicines Ltd,Active,XT,1.0,INE108B01029,Equity,,,,,
,,,,,,,2325,531962,Shree Metalloys Limited,SHREMETAL,Shree Metalloys Ltd,Active,XT,10.0,INE914B01012,Equity,,,,,
,,,,,,,2326,531968,IITL PROJECTS LIMITED,IITLPROJ,IITL Projects Ltd,Active,X ,10.0,INE786E01018,Equity,,,,,
,,,,,,,2327,531977,Chartered Logistics Ltd,CHLOGIST,Chartered Logistics Ltd,Active,X ,1.0,INE558F01026,Equity,,,,,
,,,,,,,2328,531978,Ambika Cotton Mills Ltd.,AMBIKCO,Ambika Cotton Mills Ltd,Active,B ,10.0,INE540G01014,Equity,,,,,
,,,,,,,2329,531979,HIND ALUMINIUM INDUSTRIES LTD.,HINDALUMI,Hind Aluminium Industries Ltd-$,Active,XT,10.0,INE227B01019,Equity,,,,,
,,,,,,,2330,531980,Senthil Infotek Limited,SENINFO,Senthil Infotek Ltd,Active,XT,10.0,INE564B01015,Equity,,,,,
,,,,,,,2331,531982,Spectrum Foods Limited,SPECFOOD,Spectrum Foods Ltd,Active,X ,10.0,INE547C01018,Equity,,,,,
,,,,,,,2332,531989,Deccan Polypacks Ltd,DECPO,Deccan Polypacks Ltd,Active,X ,10.0,INE132E01015,Equity,,,,,
,,,,,,,2333,531991,Amraworld Agrico Ltd.,AMRAAGRI,Amraworld Agrico Ltd,Active,X ,1.0,INE735C01027,Equity,,,,,
,,,,,,,2334,531994,Auto Pins (India) Ltd.,AUTOPINS,Auto Pins (India) Ltd,Active,XT,10.0,INE706C01028,Equity,,,,,
,,,,,,,2335,531996,Odyssey Corporation Ltd.,ODYCORP,Odyssey Corporation Ltd,Active,X ,5.0,INE839E01023,Equity,,,,,
,,,,,,,2336,531997,IKOMA TECHNOLOGIES LIMITED,IKOMA,Ikoma Technologies Ltd,Active,X ,10.0,INE164D01010,Equity,,,,,
,,,,,,,2337,532001,Inducto Steels ltd.,INDCTST,Inducto Steel Ltd,Active,X ,10.0,INE146H01018,Equity,,,,,
,,,,,,,2338,532005,Sam Industries Ltd.,SAMINDUS,Sam Industries Ltd,Active,X ,10.0,INE653D01012,Equity,,,,,
,,,,,,,2339,532007,Shree Vatsaa Finance & Leasing Ltd.,SHVFL,Shree Vatsaa Finance & leasing Ltd,Active,XT,10.0,INE981C01019,Equity,,,,,
,,,,,,,2340,532011,VASHU BHAGNANI INDUSTRIES LIMITED,POOJAENT,Vashu Bhagnani Industries Ltd,Active,X ,10.0,INE147C01017,Equity,,,,,
,,,,,,,2341,532015,Gravity (India) Ltd.,GRAVITY,Gravity India Ltd-$,Active,XT,10.0,INE995A01013,Equity,,,,,
,,,,,,,2342,532016,ESPIRE HOSPITALITY LIMITED,ESPIRE,Espire Hospitality Limited,Active,X ,10.0,INE176O01011,Equity,,,,,
,,,,,,,2343,532019,LCC Infotech Ltd.,LCCINFOTEC,LCC Infotech Ltd,Active,T ,2.0,INE938A01021,Equity,,,,,
,,,,,,,2344,532022,Filatex Fashions Ltd,FILATFASH,Filatex Fashions Ltd,Active,B ,1.0,INE185E01021,Equity,,,,,
,,,,,,,2345,532024,AARCON FACILITIES LIMITED,AARCON,Aarcon Facilities Ltd,Active,P ,10.0,INE056J01015,Equity,,,,,
,,,,,,,2346,532029,Sindhu Trade Links Limited,SINDHUTRAD,Sindhu Trade Links Ltd,Active,B ,1.0,INE325D01025,Equity,,,,,
,,,,,,,2347,532039,Zenotech Laboratories Limited,ZENOTECH,Zenotech Laboratories Ltd,Active,X ,10.0,INE486F01012,Equity,,,,,
,,,,,,,2348,532041,Hindustan Bio Sciences Ltd.,HINDBIO,Hindustan Bio Sciences Ltd,Active,X ,2.0,INE597C01021,Equity,,,,,
,,,,,,,2349,532042,Frontline Corporation Limited,FRONTCORP,Frontline Corporation Ltd,Active,X ,10.0,INE092D01013,Equity,,,,,
,,,,,,,2350,532051,Swelect Energy Systems Limited,SWELECTES,Swelect Energy Systems Ltd-$,Active,B ,10.0,INE409B01013,Equity,,,,,
,,,,,,,2351,532053,Wallfort Financial Services Ltd.,WALLFORT,Wallfort Financial Services Ltd,Active,X ,10.0,INE121B01014,Equity,,,,,
,,,,,,,2352,532054,KDDL Ltd,KDDL,KDDL Ltd-$,Active,B ,10.0,INE291D01011,Equity,,,,,
,,,,,,,2353,532056,Trustedge Capital Limited,TRUSTEDGE,Trustedge Capital Ltd,Active,X ,10.0,INE398H01015,Equity,,,,,
,,,,,,,2354,532057,Abhinav Capital Services Limited,ABHICAP,Abhinav Capital Services Ltd,Active,X ,10.0,INE516F01016,Equity,,,,,
,,,,,,,2355,532067,3B BlackBio Dx Limited,3BBLACKBIO,3B BlackBio Dx Ltd,Active,B ,10.0,INE994E01018,Equity,,,,,
,,,,,,,2356,532070,Sumuka Agro Industries Limited,SUMUKA,Sumuka Agro Industries Ltd,Active,X ,10.0,INE311N01016,Equity,,,,,
,,,,,,,2357,532072,Interworld Digital Ltd.,INTERDIGI,Interworld Digital Ltd-$,Active,XT,1.0,INE177D01020,Equity,,,,,
,,,,,,,2358,532078,MONIND LIMITED,MONIND,Monind Ltd,Active,XT,10.0,INE407E01029,Equity,,,,,
